                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1477,                 3.2124,                 1.3271,                0.30694,                0.61541,                 0.3986,                0.29487,                0.94397,                 3.9421,                 1.1861,             0.00014994,             0.00014994,             0.00014994
                      2,                0.88151,                   1.64,                 1.1207,                 0.6025,                0.60872,                0.53868,                0.39815,                0.94828,                  2.816,                 1.1654,             0.00030516,             0.00030516,             0.00030516
                      3,                0.89274,                 1.3321,                 1.0978,                0.68839,                0.50624,                0.55062,                0.41987,                0.93226,                 3.2863,                 1.1965,             0.00045724,             0.00045724,             0.00045724
                      4,                0.86102,                 1.1643,                 1.0903,                0.57655,                0.47678,                0.48578,                0.36626,                0.96691,                 2.8194,                 1.2044,             0.00060619,             0.00060619,             0.00060619
                      5,                0.86258,                 1.0866,                 1.0877,                0.40164,                0.49063,                0.38805,                0.28026,                0.98599,                 3.1371,                 1.1576,             0.00075201,             0.00075201,             0.00075201
                      6,                0.84862,                 0.9037,                 1.0767,                 0.6617,                0.80221,                0.77855,                0.55797,                 1.0314,                 1.3009,                 1.2867,             0.00079177,             0.00079177,             0.00079177
                      7,                0.83795,                  0.876,                 1.0746,                0.70605,                0.67759,                0.65687,                0.50354,                0.92497,                  2.239,                 1.2145,             0.00078352,             0.00078352,             0.00078352
                      8,                0.80563,                0.86403,                  1.057,                0.60582,                0.81481,                0.81778,                0.62036,                0.94959,                 1.1985,                 1.2009,             0.00077527,             0.00077527,             0.00077527
                      9,                0.83264,                0.82222,                 1.0743,                0.66739,                0.76585,                0.75638,                0.57167,                0.87058,                 1.3399,                 1.1855,             0.00076703,             0.00076703,             0.00076703
                     10,                0.79845,                 0.8703,                 1.0569,                0.81117,                0.74831,                0.83172,                0.65537,                0.85873,                 1.0569,                 1.1485,             0.00075878,             0.00075878,             0.00075878
                     11,                0.79939,                0.84999,                 1.0486,                0.68857,                0.78289,                0.81935,                0.63099,                0.88886,                 1.1226,                 1.1682,             0.00075053,             0.00075053,             0.00075053
                     12,                0.76875,                0.72643,                 1.0305,                0.53665,                 0.6528,                 0.6248,                0.49462,                0.82781,                 1.9664,                 1.1149,             0.00074229,             0.00074229,             0.00074229
                     13,                0.77407,                0.70258,                   1.04,                0.76111,                0.80048,                0.84552,                0.66563,                0.85136,                0.96849,                 1.1388,             0.00073404,             0.00073404,             0.00073404
                     14,                0.76494,                  0.715,                  1.051,                0.77162,                0.70815,                 0.7787,                0.59743,                0.89225,                   1.39,                 1.1497,             0.00072579,             0.00072579,             0.00072579
                     15,                0.75063,                0.62228,                 1.0197,                0.66682,                0.76985,                0.79504,                0.61133,                0.88959,                 1.1229,                 1.1512,             0.00071755,             0.00071755,             0.00071755
                     16,                0.74301,                0.64477,                 1.0136,                 0.7022,                0.78346,                0.81136,                0.63926,                 0.8723,                 1.0419,                 1.1523,              0.0007093,              0.0007093,              0.0007093
                     17,                0.73528,                0.63015,                 1.0142,                0.71371,                0.82868,                0.86156,                0.67582,                0.86128,                0.99586,                 1.1475,             0.00070105,             0.00070105,             0.00070105
                     18,                0.72585,                0.58955,                 1.0106,                0.82973,                0.67248,                0.78595,                 0.6203,                0.84909,                 1.1893,                 1.1468,             0.00069281,             0.00069281,             0.00069281
                     19,                0.73768,                0.63832,                 1.0195,                0.80006,                0.83427,                 0.8907,                0.71151,                0.81333,                0.83045,                 1.0967,             0.00068456,             0.00068456,             0.00068456
                     20,                0.73991,                0.62217,                 1.0159,                0.83177,                 0.8227,                0.86196,                0.69099,                0.82624,                0.77633,                 1.1308,             0.00067631,             0.00067631,             0.00067631
                     21,                0.72265,                0.57964,                 1.0038,                0.73552,                0.71461,                0.79061,                0.62815,                0.86417,                 1.1993,                 1.1468,             0.00066807,             0.00066807,             0.00066807
                     22,                0.69818,                0.53998,                0.99674,                0.92095,                0.89219,                0.94618,                0.75566,                0.79906,                0.60584,                 1.1041,             0.00065982,             0.00065982,             0.00065982
                     23,                0.71012,                 0.5515,                 1.0005,                0.82241,                0.87674,                0.93818,                0.74646,                0.81163,                0.65788,                 1.1188,             0.00065157,             0.00065157,             0.00065157
                     24,                0.73699,                0.57397,                 1.0234,                0.87824,                0.83122,                0.87384,                 0.6714,                0.90855,                0.78762,                 1.2048,             0.00064333,             0.00064333,             0.00064333
                     25,                0.70934,                0.56039,                 1.0058,                0.76239,                0.81087,                0.83722,                0.66581,                0.81626,                0.98636,                 1.1127,             0.00063508,             0.00063508,             0.00063508
                     26,                0.66957,                0.53592,                 0.9907,                0.78256,                0.83589,                0.85087,                0.67094,                0.83714,                0.89983,                 1.1394,             0.00062683,             0.00062683,             0.00062683
                     27,                0.68104,                 0.5512,                 1.0142,                0.79094,                 0.8141,                 0.8883,                 0.7148,                0.81542,                0.82635,                 1.1186,             0.00061859,             0.00061859,             0.00061859
                     28,                0.68664,                0.50414,                0.99669,                0.81721,                0.85193,                0.92805,                0.74125,                0.82413,                0.70381,                 1.1088,             0.00061034,             0.00061034,             0.00061034
                     29,                0.68125,                0.49681,                0.99608,                0.86963,                0.92529,                0.94429,                0.74246,                 0.8693,                0.61135,                 1.1515,             0.00060209,             0.00060209,             0.00060209
                     30,                0.67464,                0.46639,                0.99831,                0.93858,                0.91839,                0.96876,                0.77794,                0.80264,                0.53262,                 1.1128,             0.00059385,             0.00059385,             0.00059385
                     31,                0.66317,                0.46441,                0.99474,                0.81569,                0.89386,                0.92002,                0.73803,                0.80222,                0.70536,                 1.1032,              0.0005856,              0.0005856,              0.0005856
                     32,                0.65201,                0.48991,                0.97589,                0.82506,                0.84154,                0.88404,                0.70544,                0.80862,                0.81501,                 1.1098,             0.00057735,             0.00057735,             0.00057735
                     33,                 0.6869,                0.47084,                0.99134,                0.83021,                 0.9026,                0.92417,                0.74161,                0.81012,                0.61446,                 1.1183,             0.00056911,             0.00056911,             0.00056911
                     34,                0.66874,                0.46277,                0.99032,                0.86538,                0.82159,                 0.9002,                0.72733,                0.82328,                0.69266,                 1.1127,             0.00056086,             0.00056086,             0.00056086
                     35,                 0.6324,                0.44694,                0.97351,                0.90792,                0.84611,                0.90992,                0.72818,                0.80091,                0.67992,                 1.1057,             0.00055261,             0.00055261,             0.00055261
                     36,                 0.6496,                0.47477,                0.98174,                0.79191,                0.86375,                0.87162,                 0.6898,                0.79342,                0.92653,                 1.1126,             0.00054437,             0.00054437,             0.00054437
                     37,                0.63894,                0.45777,                0.97724,                0.85232,                0.89657,                0.93933,                0.75222,                0.79233,                0.58673,                 1.1005,             0.00053612,             0.00053612,             0.00053612
                     38,                0.63951,                0.45315,                0.96099,                0.79616,                0.82881,                0.84041,                0.66821,                 0.8401,                0.82845,                 1.1432,             0.00052787,             0.00052787,             0.00052787
                     39,                0.62874,                0.49732,                0.97268,                0.77134,                0.83215,                  0.891,                0.71812,                0.78113,                0.77543,                 1.1029,             0.00051963,             0.00051963,             0.00051963
                     40,                0.63677,                0.47043,                0.97536,                0.86805,                0.85593,                0.92235,                0.75398,                0.78595,                0.73691,                  1.088,             0.00051138,             0.00051138,             0.00051138
                     41,                0.64414,                0.43946,                0.98804,                0.84305,                0.84695,                0.91534,                0.74369,                0.79502,                0.67889,                 1.1063,             0.00050313,             0.00050313,             0.00050313
                     42,                0.61431,                0.40773,                0.96348,                0.71715,                 0.8586,                0.87475,                0.71388,                0.76413,                0.86452,                  1.089,             0.00049489,             0.00049489,             0.00049489
                     43,                0.60894,                 0.3979,                0.96855,                0.85857,                0.86143,                0.93552,                0.76181,                0.77159,                0.71727,                 1.1015,             0.00048664,             0.00048664,             0.00048664
                     44,                0.58699,                0.42867,                0.95221,                 0.8432,                0.91151,                0.94019,                0.75885,                  0.825,                0.60053,                 1.1381,             0.00047839,             0.00047839,             0.00047839
                     45,                0.64033,                0.43996,                0.98273,                0.88661,                0.82838,                0.92229,                0.71912,                0.86441,                0.65297,                  1.149,             0.00047015,             0.00047015,             0.00047015
                     46,                0.59883,                0.40707,                0.94655,                0.80118,                0.85728,                0.86861,                0.71084,                0.74121,                0.84804,                 1.0813,              0.0004619,              0.0004619,              0.0004619
                     47,                0.58351,                0.39288,                0.94996,                0.88726,                0.88539,                0.93201,                0.75894,                0.75346,                 0.5857,                 1.0781,             0.00045365,             0.00045365,             0.00045365
                     48,                0.59512,                 0.4059,                0.95952,                0.81153,                0.86036,                0.87088,                0.70979,                 0.8022,                0.81782,                 1.1058,             0.00044541,             0.00044541,             0.00044541
                     49,                0.57984,                0.37905,                0.95552,                0.87302,                0.88156,                0.94156,                0.74832,                0.83617,                 0.6058,                 1.1406,             0.00043716,             0.00043716,             0.00043716
                     50,                0.57841,                0.38805,                0.94979,                0.81896,                0.84433,                0.88093,                0.70767,                 0.8176,                0.85171,                  1.129,             0.00042891,             0.00042891,             0.00042891
                     51,                0.59358,                0.40897,                0.95873,                0.92082,                0.90114,                 0.9587,                0.77842,                0.78242,                0.51846,                 1.1003,             0.00042066,             0.00042066,             0.00042066
                     52,                 0.5873,                0.38171,                0.95787,                0.86675,                0.89806,                0.92822,                0.74416,                0.80776,                 0.6089,                 1.1062,             0.00041242,             0.00041242,             0.00041242
                     53,                0.56688,                 0.3764,                 0.9495,                0.84373,                0.85804,                0.88047,                0.72291,                0.79723,                0.80674,                 1.1095,             0.00040417,             0.00040417,             0.00040417
                     54,                0.55682,                0.36674,                0.94096,                0.87418,                0.86881,                0.91977,                0.76147,                0.76817,                0.65805,                 1.0913,             0.00039592,             0.00039592,             0.00039592
                     55,                0.56311,                0.37808,                0.96013,                0.80902,                0.91089,                0.92157,                0.74846,                0.80859,                0.71608,                 1.1118,             0.00038768,             0.00038768,             0.00038768
                     56,                0.54105,                0.37319,                0.94138,                0.81892,                0.89396,                0.92532,                0.75644,                0.78832,                0.75601,                 1.1197,             0.00037943,             0.00037943,             0.00037943
                     57,                0.56361,                0.37799,                0.93668,                0.85552,                0.91433,                0.95249,                0.77367,                 0.8182,                0.56533,                 1.1361,             0.00037118,             0.00037118,             0.00037118
                     58,                0.56318,                0.38357,                0.93681,                0.83996,                0.87121,                0.92242,                0.75282,                0.78184,                0.68611,                  1.108,             0.00036294,             0.00036294,             0.00036294
                     59,                0.55944,                 0.3662,                  0.933,                0.79875,                0.87554,                0.88975,                0.72487,                0.79818,                0.74761,                 1.1261,             0.00035469,             0.00035469,             0.00035469
                     60,                0.56124,                0.36092,                0.94534,                0.86156,                0.87003,                0.93784,                0.75964,                0.79533,                0.71225,                 1.1136,             0.00034644,             0.00034644,             0.00034644
                     61,                0.52164,                0.33535,                0.92119,                0.88581,                0.91326,                0.95996,                0.78574,                 0.7611,                0.50112,                 1.0881,              0.0003382,              0.0003382,              0.0003382
                     62,                0.51803,                0.33485,                0.91704,                0.90003,                0.93987,                0.96801,                0.79389,                0.77261,                0.49034,                 1.0977,             0.00032995,             0.00032995,             0.00032995
                     63,                0.50975,                0.32796,                0.91279,                0.86971,                0.87517,                0.91874,                0.74146,                0.82313,                0.75755,                 1.1393,              0.0003217,              0.0003217,              0.0003217
                     64,                0.53031,                 0.3506,                0.94679,                 0.8955,                0.87082,                0.90716,                0.73351,                0.79451,                0.68377,                 1.1221,             0.00031346,             0.00031346,             0.00031346
