                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0557,                 1.9655,                  1.173,                0.26089,                0.38418,                0.16075,                0.11636,                 1.5389,                 19.329,                 1.6801,               0.070256,              0.0033048,              0.0033048
                      2,                 1.0485,                 1.4293,                 1.1824,                0.67388,                0.43596,                0.47818,                0.30686,                 1.3005,                 4.0599,                 1.5671,               0.040213,              0.0065944,              0.0065944
                      3,                 1.0878,                 1.2812,                 1.1927,                0.18785,                0.52876,                0.25311,                0.15137,                 1.4684,                 13.888,                 1.5518,               0.010125,              0.0098399,              0.0098399
                      4,                 1.0205,                 1.2338,                 1.1626,                0.26461,                0.53467,                0.40256,                0.27482,                 1.0477,                 3.5943,                 1.2682,               0.009802,               0.009802,               0.009802
                      5,                0.94195,                 1.0373,                 1.1173,                0.47097,                0.59616,                0.57658,                0.40148,                 1.1047,                  2.863,                 1.3233,               0.009736,               0.009736,               0.009736
                      6,                0.94246,                0.97944,                 1.1223,                0.47145,                0.52345,                0.60364,                 0.4403,                0.99642,                 1.5937,                 1.2424,                0.00967,                0.00967,                0.00967
                      7,                0.96667,                0.98274,                 1.1222,                0.69571,                 0.7819,                0.84128,                0.63324,                0.92255,                 1.0186,                 1.1812,               0.009604,               0.009604,               0.009604
                      8,                0.91766,                0.91592,                 1.1027,                0.77529,                0.77733,                0.81889,                0.63012,                0.87693,                 1.1013,                 1.1543,               0.009538,               0.009538,               0.009538
                      9,                0.92835,                0.89079,                 1.1111,                0.77373,                 0.7518,                 0.8257,                0.64711,                0.82851,                0.90016,                 1.1234,               0.009472,               0.009472,               0.009472
                     10,                0.90489,                0.92763,                 1.0978,                 0.5638,                0.73767,                 0.7556,                0.56253,                0.91078,                 1.4491,                 1.1686,               0.009406,               0.009406,               0.009406
                     11,                0.91077,                0.85038,                 1.0991,                0.62536,                0.69229,                0.69271,                0.52734,                0.89919,                 1.5969,                 1.1653,                0.00934,                0.00934,                0.00934
                     12,                0.93269,                0.83139,                  1.106,                0.81607,                0.83742,                0.90023,                0.68834,                0.88455,                0.79859,                 1.1509,               0.009274,               0.009274,               0.009274
                     13,                0.87168,                0.81625,                  1.078,                0.68205,                0.71905,                0.78218,                0.60624,                0.85698,                  1.167,                 1.1281,               0.009208,               0.009208,               0.009208
                     14,                0.88627,                0.83323,                 1.0878,                0.46497,                0.70165,                0.61568,                0.46591,                0.93749,                 2.1191,                 1.1947,               0.009142,               0.009142,               0.009142
                     15,                0.86187,                0.78832,                 1.0711,                0.75499,                0.73973,                0.80975,                0.62677,                 0.8575,                 1.0728,                 1.1564,               0.009076,               0.009076,               0.009076
