                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0557,                 1.9655,                  1.173,                0.26089,                0.38418,                0.16075,                0.11636,                 1.5389,                 19.329,                 1.6801,               0.070256,              0.0033048,              0.0033048
                      2,                 1.0511,                 1.3998,                 1.1827,                0.55595,                0.35929,                0.39436,                0.25938,                 1.1695,                 7.5137,                 1.3853,               0.040243,               0.006625,               0.006625
                      3,                 1.0257,                 1.2935,                 1.1652,                0.28928,                0.39793,                0.33939,                0.21792,                 1.2418,                 4.2381,                  1.426,               0.010217,               0.009932,               0.009932
                      4,                 1.0284,                 1.1758,                 1.1646,                0.52486,                0.50909,                0.55898,                0.39713,                 1.0318,                 2.3163,                 1.3057,              0.0099406,              0.0099406,              0.0099406
                      5,                0.95785,                 1.0515,                  1.128,                0.61214,                0.60074,                0.66468,                0.48141,                0.93781,                 1.6694,                   1.21,              0.0099208,              0.0099208,              0.0099208
                      6,                0.99087,                 1.0415,                 1.1409,                 0.4343,                0.62283,                0.61446,                0.44765,                0.99756,                 2.0602,                 1.2356,               0.009901,               0.009901,               0.009901
                      7,                0.93974,                0.96199,                 1.1076,                0.70853,                0.70749,                0.76056,                0.57743,                0.89736,                 1.4405,                 1.1642,              0.0098812,              0.0098812,              0.0098812
                      8,                 0.9726,                0.96271,                 1.1316,                0.61337,                 0.6022,                 0.6504,                0.47671,                0.97004,                 1.4788,                 1.2154,              0.0098614,              0.0098614,              0.0098614
                      9,                0.92015,                0.87329,                 1.1091,                0.43121,                0.61536,                0.59495,                0.45071,                0.87786,                 2.6087,                 1.1611,              0.0098416,              0.0098416,              0.0098416
                     10,                 0.9056,                0.91472,                  1.098,                0.81962,                0.76163,                0.86317,                 0.6689,                0.84062,                0.99142,                 1.1356,              0.0098218,              0.0098218,              0.0098218
                     11,                0.87842,                0.83837,                 1.0904,                0.77934,                0.64341,                0.82639,                0.63399,                0.88476,                 1.2989,                 1.1636,               0.009802,               0.009802,               0.009802
                     12,                0.88854,                0.81873,                 1.0908,                0.80765,                0.78941,                0.89926,                0.69319,                0.88471,                 0.8905,                 1.1613,              0.0097822,              0.0097822,              0.0097822
                     13,                0.87775,                0.83129,                 1.0862,                0.74182,                0.68087,                0.78249,                0.59694,                0.90668,                 1.2334,                 1.1794,              0.0097624,              0.0097624,              0.0097624
                     14,                 0.8698,                0.81848,                 1.0791,                0.75981,                0.77143,                 0.7805,                0.61413,                0.84419,                 1.1099,                 1.1314,              0.0097426,              0.0097426,              0.0097426
                     15,                0.85495,                0.74968,                 1.0659,                0.81391,                0.80015,                0.87698,                0.67656,                0.86457,                0.80738,                 1.1507,              0.0097228,              0.0097228,              0.0097228
                     16,                0.86864,                0.74894,                 1.0735,                0.78915,                0.84346,                 0.9128,                0.70861,                0.87307,                0.73348,                  1.147,               0.009703,               0.009703,               0.009703
                     17,                0.86472,                0.75809,                 1.0753,                0.69915,                0.82781,                0.83184,                0.65836,                0.84328,                0.85795,                 1.1243,              0.0096832,              0.0096832,              0.0096832
                     18,                0.82323,                0.71769,                  1.058,                0.88041,                0.88288,                0.94398,                0.74483,                0.80833,                0.65392,                 1.1159,              0.0096634,              0.0096634,              0.0096634
                     19,                0.83413,                 0.7345,                 1.0605,                0.76727,                 0.8152,                0.90588,                0.69588,                 0.8728,                0.88608,                 1.1468,              0.0096436,              0.0096436,              0.0096436
                     20,                 0.8538,                0.70583,                 1.0672,                0.83842,                 0.8724,                0.92441,                0.72798,                  0.818,                 0.7079,                  1.115,              0.0096238,              0.0096238,              0.0096238
                     21,                0.82766,                0.65952,                 1.0543,                0.80597,                0.86283,                0.90842,                0.71866,                0.82419,                0.73785,                 1.1201,               0.009604,               0.009604,               0.009604
                     22,                0.83353,                 0.6723,                 1.0588,                0.91092,                0.90884,                0.96489,                0.76403,                0.81213,                0.54128,                 1.1058,              0.0095842,              0.0095842,              0.0095842
                     23,                0.80698,                0.66223,                 1.0533,                0.81493,                0.90151,                0.93489,                0.74985,                0.78792,                 0.6623,                 1.0948,              0.0095644,              0.0095644,              0.0095644
                     24,                0.80789,                0.67332,                 1.0414,                0.91067,                0.90918,                0.96057,                0.76395,                0.82145,                0.54527,                 1.1167,              0.0095446,              0.0095446,              0.0095446
                     25,                 0.8214,                0.69474,                 1.0559,                0.85291,                0.84309,                0.93257,                 0.7431,                 0.8057,                 0.7331,                 1.1019,              0.0095248,              0.0095248,              0.0095248
                     26,                 0.8067,                0.69905,                 1.0394,                0.70394,                0.75748,                0.85696,                0.68806,                0.79267,                0.87655,                 1.1019,               0.009505,               0.009505,               0.009505
                     27,                0.81125,                0.65725,                 1.0476,                0.82006,                0.85823,                 0.9284,                0.73826,                0.79316,                0.70053,                 1.0977,              0.0094852,              0.0094852,              0.0094852
                     28,                0.79874,                0.62797,                 1.0369,                0.69248,                0.71616,                0.82366,                0.65102,                0.81738,                 1.3129,                 1.1183,              0.0094654,              0.0094654,              0.0094654
                     29,                0.80803,                 0.6505,                 1.0381,                0.83617,                0.88411,                0.93772,                0.73381,                0.85212,                0.70874,                  1.137,              0.0094456,              0.0094456,              0.0094456
                     30,                0.81254,                0.72119,                 1.0469,                0.88661,                0.89487,                0.95795,                0.77137,                0.78657,                 0.6587,                 1.0935,              0.0094258,              0.0094258,              0.0094258
                     31,                0.79782,                0.65489,                 1.0445,                0.88853,                0.91527,                0.96628,                0.77527,                0.76967,                0.55047,                 1.0816,               0.009406,               0.009406,               0.009406
