                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.156,                 3.8379,                 1.2435,                0.01054,                0.89888,                0.16904,                0.13285,                0.89534,                   3.53,                0.97167,             0.00014994,             0.00014994,             0.00014994
                      1,                 1.0084,                 2.6498,                 1.0624,                0.39191,                0.32529,                0.26639,                0.19871,                 0.9403,                 2.8686,                0.96151,             0.00030516,             0.00030516,             0.00030516
                      2,                0.96049,                 2.1484,                 1.0538,                0.32512,                0.61039,                0.47475,                0.34878,                0.97914,                 3.0397,                0.98155,             0.00045724,             0.00045724,             0.00045724
                      3,                0.93288,                 1.7389,                 1.0259,                0.71705,                0.48138,                0.66206,                0.47925,                 0.9664,                 2.2649,                0.99758,             0.00060619,             0.00060619,             0.00060619
                      4,                0.89386,                 1.5631,                 1.0059,                0.50824,                0.78679,                0.75748,                 0.5765,                 0.8951,                 1.7569,                0.96164,             0.00075201,             0.00075201,             0.00075201
                      5,                0.92899,                  1.442,                 1.0211,                0.64555,                0.78905,                0.81952,                0.62229,                0.90279,                 1.5325,                0.96948,             0.00079177,             0.00079177,             0.00079177
                      6,                0.87298,                 1.3391,                 1.0061,                0.60983,                0.81655,                0.81813,                0.63326,                0.84629,                 1.5681,                0.97275,             0.00079177,             0.00079177,             0.00079177
                      7,                0.83794,                 1.2064,                0.98085,                0.66458,                 0.8354,                0.85855,                0.65436,                0.95984,                 1.5017,                0.99071,             0.00078352,             0.00078352,             0.00078352
                      8,                0.84896,                 1.1953,                 0.9819,                0.85207,                0.81555,                0.90523,                0.69067,                 0.8868,                 1.1226,                0.99372,             0.00077527,             0.00077527,             0.00077527
                      9,                0.80021,                 1.0619,                0.96876,                0.75408,                0.83631,                0.88391,                0.67722,                0.90117,                 1.2657,                 1.0253,             0.00076703,             0.00076703,             0.00076703
                     10,                0.80799,                 1.0928,                0.97055,                 0.6564,                0.86891,                0.87666,                0.68629,                0.86759,                 1.2759,                 0.9759,             0.00075878,             0.00075878,             0.00075878
                     11,                0.79277,                 1.0977,                0.96929,                0.87251,                0.85545,                0.92751,                0.72031,                0.86662,                 1.0228,                0.97985,             0.00075053,             0.00075053,             0.00075053
                     12,                 0.7593,                 1.0321,                0.95181,                0.85281,                0.89124,                0.95118,                0.72407,                0.91291,                 1.0031,                  1.013,             0.00074229,             0.00074229,             0.00074229
                     13,                0.78645,                0.94815,                0.97011,                0.79317,                0.86113,                0.88122,                0.68332,                0.84855,                 1.0866,                 1.0055,             0.00073404,             0.00073404,             0.00073404
                     14,                 0.8165,                0.96987,                0.97107,                 0.7879,                0.91831,                0.88935,                0.69613,                0.83787,                0.99057,                 1.0017,             0.00072579,             0.00072579,             0.00072579
                     15,                0.79412,                0.88289,                0.96229,                0.78491,                0.86847,                0.91226,                0.72146,                 0.8322,                 1.0747,                0.98163,             0.00071755,             0.00071755,             0.00071755
                     16,                0.75077,                0.85341,                0.94675,                0.86025,                 0.9473,                0.95427,                0.74731,                0.88957,                 0.8978,                 1.0054,              0.0007093,              0.0007093,              0.0007093
                     17,                0.77034,                0.90658,                0.95628,                0.87913,                0.94357,                0.94813,                0.75769,                0.81084,                0.86352,                0.98113,             0.00070105,             0.00070105,             0.00070105
                     18,                0.74475,                0.90444,                0.95133,                0.80191,                   0.81,                0.89431,                0.71235,                   0.81,                 1.0676,                0.97567,             0.00069281,             0.00069281,             0.00069281
                     19,                0.72656,                 0.8534,                 0.9413,                0.82289,                0.92386,                0.95771,                0.77192,                0.80643,                 0.8645,                 0.9849,             0.00068456,             0.00068456,             0.00068456
                     20,                0.71606,                0.81653,                 0.9423,                0.92396,                0.92221,                0.96083,                0.76359,                0.84338,                0.80463,                0.98859,             0.00067631,             0.00067631,             0.00067631
                     21,                0.71512,                0.76968,                0.94299,                 0.7944,                0.88961,                0.94026,                0.74857,                0.80709,                0.97324,                0.98183,             0.00066807,             0.00066807,             0.00066807
                     22,                0.73153,                0.76281,                0.94151,                0.78995,                0.83581,                 0.9086,                0.72728,                0.81404,                 1.1373,                0.98951,             0.00065982,             0.00065982,             0.00065982
                     23,                0.70223,                0.74646,                0.92693,                 0.8527,                0.90553,                0.94505,                 0.7537,                0.80962,                0.94006,                0.99416,             0.00065157,             0.00065157,             0.00065157
                     24,                0.69911,                0.73338,                0.94229,                0.83613,                0.93657,                0.95886,                 0.7808,                0.77612,                0.82991,                0.98436,             0.00064333,             0.00064333,             0.00064333
                     25,                0.67355,                0.69281,                0.92857,                0.86885,                 0.8667,                0.96093,                0.78703,                0.76471,                0.88774,                 0.9672,             0.00063508,             0.00063508,             0.00063508
                     26,                0.69126,                0.69564,                0.94029,                0.90978,                 0.9447,                0.97013,                 0.7833,                0.76637,                0.74604,                0.98792,             0.00062683,             0.00062683,             0.00062683
                     27,                0.70193,                0.68548,                0.92958,                0.85861,                0.88964,                0.92348,                0.73544,                0.82673,                0.89389,                  1.005,             0.00061859,             0.00061859,             0.00061859
                     28,                 0.6796,                0.69493,                0.93216,                0.90719,                0.86852,                0.95024,                0.75924,                 0.8156,                0.79362,                 1.0158,             0.00061034,             0.00061034,             0.00061034
                     29,                 0.7121,                0.65902,                0.93588,                0.89041,                 0.9094,                0.95647,                0.78242,                0.78286,                0.76906,                0.99682,             0.00060209,             0.00060209,             0.00060209
                     30,                0.67139,                0.64977,                0.92342,                0.90699,                0.92596,                0.96764,                0.79655,                0.75647,                0.68452,                0.98743,             0.00059385,             0.00059385,             0.00059385
                     31,                0.69366,                0.64432,                 0.9422,                  0.862,                0.95299,                0.95974,                0.78276,                0.78096,                 0.7331,                 0.9782,              0.0005856,              0.0005856,              0.0005856
                     32,                0.69419,                0.67536,                0.94958,                0.91449,                0.96261,                0.97356,                0.78826,                0.78847,                0.67038,                0.99619,             0.00057735,             0.00057735,             0.00057735
                     33,                0.67727,                0.62214,                0.92962,                0.93741,                0.94187,                0.96492,                0.78218,                0.77883,                0.67379,                0.98091,             0.00056911,             0.00056911,             0.00056911
                     34,                0.65469,                0.66272,                0.92491,                0.88741,                 0.9299,                0.96122,                0.78953,                0.79054,                0.71319,                0.98329,             0.00056086,             0.00056086,             0.00056086
                     35,                0.67481,                0.63371,                0.93549,                 0.9054,                0.92601,                0.96345,                0.78588,                0.78174,                0.69862,                0.99171,             0.00055261,             0.00055261,             0.00055261
                     36,                 0.6503,                0.64781,                0.92739,                0.90178,                0.91479,                0.96029,                 0.7651,                0.81759,                0.69604,                 1.0119,             0.00054437,             0.00054437,             0.00054437
                     37,                0.67645,                0.65985,                0.93117,                0.82434,                0.90276,                0.93562,                0.76127,                0.79445,                0.83679,                 1.0013,             0.00053612,             0.00053612,             0.00053612
                     38,                0.63864,                0.61035,                0.91653,                0.87154,                0.94605,                0.96806,                0.79766,                0.76958,                0.64935,                 1.0016,             0.00052787,             0.00052787,             0.00052787
                     39,                0.63696,                0.58127,                0.92296,                0.85647,                0.90362,                0.94007,                0.76503,                0.78148,                0.74271,                0.98246,             0.00051963,             0.00051963,             0.00051963
                     40,                0.65429,                0.61278,                0.92667,                0.85982,                0.91131,                 0.9583,                0.78669,                0.78228,                0.74618,                 0.9971,             0.00051138,             0.00051138,             0.00051138
                     41,                0.62458,                0.59894,                0.91282,                0.88886,                0.91403,                0.95505,                0.78605,                0.78217,                0.70738,                0.99652,             0.00050313,             0.00050313,             0.00050313
                     42,                 0.6582,                0.63212,                0.93135,                0.69683,                0.83861,                0.89118,                0.72282,                0.77759,                 1.1922,                0.99013,             0.00049489,             0.00049489,             0.00049489
                     43,                0.63674,                0.60253,                0.92341,                0.90886,                  0.916,                0.97265,                0.78548,                0.79024,                0.68758,                0.99859,             0.00048664,             0.00048664,             0.00048664
                     44,                0.63775,                0.56957,                0.91626,                0.88693,                0.97324,                0.97862,                0.78828,                0.78519,                0.62215,                 1.0077,             0.00047839,             0.00047839,             0.00047839
                     45,                0.64198,                0.56292,                0.91773,                0.86678,                0.97112,                0.96686,                0.78459,                0.77498,                 0.6395,                 1.0096,             0.00047015,             0.00047015,             0.00047015
                     46,                0.62005,                0.52971,                0.91268,                0.92404,                0.91554,                0.96745,                0.78659,                0.78127,                0.62192,                 1.0115,              0.0004619,              0.0004619,              0.0004619
                     47,                0.61781,                0.53607,                0.91038,                0.84289,                0.89613,                0.94925,                0.76442,                0.79431,                0.80687,                 1.0103,             0.00045365,             0.00045365,             0.00045365
                     48,                0.60275,                0.53059,                0.91542,                 0.9041,                0.93725,                0.97268,                 0.7814,                0.79383,                0.64581,                0.99664,             0.00044541,             0.00044541,             0.00044541
                     49,                0.60072,                0.53374,                0.90851,                0.87633,                0.92311,                0.97177,                 0.7924,                0.76673,                0.64882,                0.98747,             0.00043716,             0.00043716,             0.00043716
                     50,                0.62647,                0.56403,                0.91607,                0.89328,                0.94034,                0.97224,                0.79335,                0.78089,                0.62239,                 1.0011,             0.00042891,             0.00042891,             0.00042891
                     51,                0.60254,                0.52749,                0.91493,                0.85656,                0.92597,                0.96972,                0.78942,                0.80156,                0.69543,                 1.0265,             0.00042066,             0.00042066,             0.00042066
                     52,                0.59806,                0.51439,                0.90064,                0.90021,                0.90855,                0.96231,                0.78109,                0.80486,                0.64705,                 1.0389,             0.00041242,             0.00041242,             0.00041242
                     53,                0.59789,                0.50914,                0.91235,                0.91114,                0.93605,                0.97141,                0.78637,                0.82002,                 0.5938,                 1.0193,             0.00040417,             0.00040417,             0.00040417
                     54,                0.60743,                0.50381,                0.90302,                0.92642,                0.92632,                0.97097,                0.78968,                0.78577,                0.59412,                0.99485,             0.00039592,             0.00039592,             0.00039592
